Question,True Answer,answers,MCQs,3_MC,2_MC
计划按照什么标准可以分为业务计划、财务计划和人事计划？,职能空间,"['综合性程度', '明确性', '程序化程度']",请选择一个正确选项。计划按照什么标准可以分为业务计划、财务计划和人事计划？：A 综合性程度 ，B 职能空间 ，C 明确性，D 程序化程度。只能选择一个选项，禁止解释。,请选择一个正确选项。计划按照什么标准可以分为业务计划、财务计划和人事计划？：A 综合性程度 ，B  明确性 ，C 职能空间。只能选择一个选项，禁止解释。,请选择一个正确选项。计划按照什么标准可以分为业务计划、财务计划和人事计划？：A 综合性程度 ，B 职能空间。只能选择一个选项，禁止解释。
违背统一指挥原则，造成多头领导的组织结构形式是？,职能制,"['直线制', '事业部制', '直线职能制']",请选择一个正确选项。违背统一指挥原则，造成多头领导的组织结构形式是？：A 直线制 ，B 职能制 ，C 事业部制，D 直线职能制。只能选择一个选项，禁止解释。,请选择一个正确选项。违背统一指挥原则，造成多头领导的组织结构形式是？：A 直线制 ，B  事业部制 ，C 职能制。只能选择一个选项，禁止解释。,请选择一个正确选项。违背统一指挥原则，造成多头领导的组织结构形式是？：A 直线制 ，B 职能制。只能选择一个选项，禁止解释。
"泰罗曾经推行过一种职能制组织机构，即各职能部门都可以给生产车间下达指令,最后这种组织以失败而告终。它失败的原因是违背了？",统一领导原则,"['责权一致原则', '例外原则', '机构精干原则']","请选择一个正确选项。泰罗曾经推行过一种职能制组织机构，即各职能部门都可以给生产车间下达指令,最后这种组织以失败而告终。它失败的原因是违背了？：A 责权一致原则 ，B 统一领导原则 ，C 例外原则，D 机构精干原则。只能选择一个选项，禁止解释。","请选择一个正确选项。泰罗曾经推行过一种职能制组织机构，即各职能部门都可以给生产车间下达指令,最后这种组织以失败而告终。它失败的原因是违背了？：A 责权一致原则 ，B  例外原则 ，C 统一领导原则。只能选择一个选项，禁止解释。","请选择一个正确选项。泰罗曾经推行过一种职能制组织机构，即各职能部门都可以给生产车间下达指令,最后这种组织以失败而告终。它失败的原因是违背了？：A 责权一致原则 ，B 统一领导原则。只能选择一个选项，禁止解释。"
对于友情、爱情、亲情和群体归属感的需求属于？,社会和情感的需求,"['安全需求', '尊重的需求', '自我实现的需求']",请选择一个正确选项。对于友情、爱情、亲情和群体归属感的需求属于？：A 安全需求 ，B 社会和情感的需求 ，C 尊重的需求，D 自我实现的需求。只能选择一个选项，禁止解释。,请选择一个正确选项。对于友情、爱情、亲情和群体归属感的需求属于？：A 安全需求 ，B  尊重的需求 ，C 社会和情感的需求。只能选择一个选项，禁止解释。,请选择一个正确选项。对于友情、爱情、亲情和群体归属感的需求属于？：A 安全需求 ，B 社会和情感的需求。只能选择一个选项，禁止解释。
双因素理论中的双因素指的是？,保健因素与鼓励因素,"['人和物的因素', '信息与环境的因素', '自然因素和社会因素']",请选择一个正确选项。双因素理论中的双因素指的是？：A 人和物的因素 ，B 信息与环境的因素 ，C 保健因素与鼓励因素，D 自然因素和社会因素。只能选择一个选项，禁止解释。,请选择一个正确选项。双因素理论中的双因素指的是？：A 人和物的因素 ，B  信息与环境的因素 ，C 保健因素与鼓励因素。只能选择一个选项，禁止解释。,请选择一个正确选项。双因素理论中的双因素指的是？：A 人和物的因素 ，B 保健因素与鼓励因素。只能选择一个选项，禁止解释。
设变量x，y满足约束条件：&x+y≥3&x-y≥-1&2x-y≤3.则目标函数z=2x+3y的最小值为  ?,7,"['6', '8', '23']",请选择一个正确选项。设变量x，y满足约束条件：&x+y≥3&x-y≥-1&2x-y≤3.则目标函数z=2x+3y的最小值为  ?：A 6 ，B 7 ，C 8，D 23。只能选择一个选项，禁止解释。,请选择一个正确选项。设变量x，y满足约束条件：&x+y≥3&x-y≥-1&2x-y≤3.则目标函数z=2x+3y的最小值为  ?：A 6 ，B  8 ，C 7。只能选择一个选项，禁止解释。,请选择一个正确选项。设变量x，y满足约束条件：&x+y≥3&x-y≥-1&2x-y≤3.则目标函数z=2x+3y的最小值为  ?：A 6 ，B 7。只能选择一个选项，禁止解释。
"在ΔABC中, 角A、B、C的对边分别为a、b、c, 已知A=\frac{\pi}{3}, a=\sqrt3, b=1，则c= ?",2,"['1', '\\sqrt3－1', '\\sqrt3']","请选择一个正确选项。在ΔABC中, 角A、B、C的对边分别为a、b、c, 已知A=\frac{\pi}{3}, a=\sqrt3, b=1，则c= ?：A 1 ，B 2 ，C \sqrt3－1，D \sqrt3。只能选择一个选项，禁止解释。","请选择一个正确选项。在ΔABC中, 角A、B、C的对边分别为a、b、c, 已知A=\frac{\pi}{3}, a=\sqrt3, b=1，则c= ?：A 1 ，B  \\sqrt3－1 ，C 2。只能选择一个选项，禁止解释。","请选择一个正确选项。在ΔABC中, 角A、B、C的对边分别为a、b、c, 已知A=\frac{\pi}{3}, a=\sqrt3, b=1，则c= ?：A 1 ，B 2。只能选择一个选项，禁止解释。"
已知方程\fr  {x^2}{1+k}-\fr  {y^2}{1-k}=1表示双曲线，则k的取值范围是    )?,k<1&K>-1,"['k>0', 'k\\geq0', 'k>1或k<-1']",请选择一个正确选项。已知方程\fr  {x^2}{1+k}-\fr  {y^2}{1-k}=1表示双曲线，则k的取值范围是    )?：A k<1&K>-1 ，B k>0 ，C k\geq0，D k>1或k<-1。只能选择一个选项，禁止解释。,请选择一个正确选项。已知方程\fr  {x^2}{1+k}-\fr  {y^2}{1-k}=1表示双曲线，则k的取值范围是    )?：A k>0 ，B  k\\geq0 ，C k<1&K>-1。只能选择一个选项，禁止解释。,请选择一个正确选项。已知方程\fr  {x^2}{1+k}-\fr  {y^2}{1-k}=1表示双曲线，则k的取值范围是    )?：A k>0 ，B k<1&K>-1。只能选择一个选项，禁止解释。
"一元二次方程 x^2+2x+1=0  \neq0),有一个正根和一个负根的充分不必要条件是    )?",<-1,"['<0', '>0', '>1']","请选择一个正确选项。一元二次方程 x^2+2x+1=0  \neq0),有一个正根和一个负根的充分不必要条件是    )?：A <0 ，B >0 ，C <-1，D >1。只能选择一个选项，禁止解释。","请选择一个正确选项。一元二次方程 x^2+2x+1=0  \neq0),有一个正根和一个负根的充分不必要条件是    )?：A <0 ，B  >0 ，C <-1。只能选择一个选项，禁止解释。","请选择一个正确选项。一元二次方程 x^2+2x+1=0  \neq0),有一个正根和一个负根的充分不必要条件是    )?：A <0 ，B <-1。只能选择一个选项，禁止解释。"
数列{ n}的通项公式是 n＝2n－12n，其前n项和Sn＝32164，则项数n=  ?,6,"['13', '10', '9']",请选择一个正确选项。数列{ n}的通项公式是 n＝2n－12n，其前n项和Sn＝32164，则项数n=  ?：A 13 ，B 10 ，C 9，D 6。只能选择一个选项，禁止解释。,请选择一个正确选项。数列{ n}的通项公式是 n＝2n－12n，其前n项和Sn＝32164，则项数n=  ?：A 13 ，B  10 ，C 6。只能选择一个选项，禁止解释。,请选择一个正确选项。数列{ n}的通项公式是 n＝2n－12n，其前n项和Sn＝32164，则项数n=  ?：A 13 ，B 6。只能选择一个选项，禁止解释。
数轴上一点A，一蚂蚁从A 出发爬了5个单位长度到了原点，则点A所表示的数是?,±5,"['5', '–5', '±10']",请选择一个正确选项。数轴上一点A，一蚂蚁从A 出发爬了5个单位长度到了原点，则点A所表示的数是?：A 5 ，B ±5 ，C –5，D ±10。只能选择一个选项，禁止解释。,请选择一个正确选项。数轴上一点A，一蚂蚁从A 出发爬了5个单位长度到了原点，则点A所表示的数是?：A 5 ，B  –5 ，C ±5。只能选择一个选项，禁止解释。,请选择一个正确选项。数轴上一点A，一蚂蚁从A 出发爬了5个单位长度到了原点，则点A所表示的数是?：A 5 ，B ±5。只能选择一个选项，禁止解释。
下列说法正确的是?,一个负数的倒数一定还是负数,"['0既不是正数，也不是负数，所以0不是有理数', '在﹣3与﹣1之间仅有一个有理数', '一个数的绝对值越大，表示它的点在数轴上越靠右']",请选择一个正确选项。下列说法正确的是?：A 0既不是正数，也不是负数，所以0不是有理数 ，B 在﹣3与﹣1之间仅有一个有理数 ，C 一个负数的倒数一定还是负数，D 一个数的绝对值越大，表示它的点在数轴上越靠右。只能选择一个选项，禁止解释。,请选择一个正确选项。下列说法正确的是?：A 0既不是正数，也不是负数，所以0不是有理数 ，B  在﹣3与﹣1之间仅有一个有理数 ，C 一个负数的倒数一定还是负数。只能选择一个选项，禁止解释。,请选择一个正确选项。下列说法正确的是?：A 0既不是正数，也不是负数，所以0不是有理数 ，B 一个负数的倒数一定还是负数。只能选择一个选项，禁止解释。
|﹣1/5|的相反数是　　?,﹣1/5,"['44960', '3', '-3']",请选择一个正确选项。|﹣1/5|的相反数是　　?：A 44960 ，B ﹣1/5 ，C 3，D -3。只能选择一个选项，禁止解释。,请选择一个正确选项。|﹣1/5|的相反数是　　?：A 44960 ，B  3 ，C ﹣1/5。只能选择一个选项，禁止解释。,请选择一个正确选项。|﹣1/5|的相反数是　　?：A 44960 ，B ﹣1/5。只能选择一个选项，禁止解释。
下列说法中，错误的是?,任何有理数的平方都大于0,"['若n个有理数的积是0，则其中至少有一个数为0', '倒数等于它本身的有理数是±1', '－1的奇数次幂等于－1']",请选择一个正确选项。下列说法中，错误的是?：A 若n个有理数的积是0，则其中至少有一个数为0 ，B 倒数等于它本身的有理数是±1 ，C 任何有理数的平方都大于0，D －1的奇数次幂等于－1。只能选择一个选项，禁止解释。,请选择一个正确选项。下列说法中，错误的是?：A 若n个有理数的积是0，则其中至少有一个数为0 ，B  倒数等于它本身的有理数是±1 ，C 任何有理数的平方都大于0。只能选择一个选项，禁止解释。,请选择一个正确选项。下列说法中，错误的是?：A 若n个有理数的积是0，则其中至少有一个数为0 ，B 任何有理数的平方都大于0。只能选择一个选项，禁止解释。
下列命题：①若|a|＞|b|，则a＞b；②若a+b＝0，则|a|≠|b|；③等边三角形的三个内角都相等.④线段垂直平分线上的点到线段两个端点的距离相等.以上命题的逆命题是真命题的有?,0 个,"['1 个', '2 个', '3 个']",请选择一个正确选项。下列命题：①若|a|＞|b|，则a＞b；②若a+b＝0，则|a|≠|b|；③等边三角形的三个内角都相等.④线段垂直平分线上的点到线段两个端点的距离相等.以上命题的逆命题是真命题的有?：A 0 个 ，B 1 个 ，C 2 个，D 3 个。只能选择一个选项，禁止解释。,请选择一个正确选项。下列命题：①若|a|＞|b|，则a＞b；②若a+b＝0，则|a|≠|b|；③等边三角形的三个内角都相等.④线段垂直平分线上的点到线段两个端点的距离相等.以上命题的逆命题是真命题的有?：A 1 个 ，B  2 个 ，C 0 个。只能选择一个选项，禁止解释。,请选择一个正确选项。下列命题：①若|a|＞|b|，则a＞b；②若a+b＝0，则|a|≠|b|；③等边三角形的三个内角都相等.④线段垂直平分线上的点到线段两个端点的距离相等.以上命题的逆命题是真命题的有?：A 1 个 ，B 0 个。只能选择一个选项，禁止解释。
一个平行四边形底缩小10倍，高扩大10倍，这个平行四边形的面积?,大小与原来相等,"['缩小10倍', '扩大10倍', '不知道']",请选择一个正确选项。一个平行四边形底缩小10倍，高扩大10倍，这个平行四边形的面积?：A 大小与原来相等 ，B 缩小10倍 ，C 扩大10倍，D 不知道。只能选择一个选项，禁止解释。,请选择一个正确选项。一个平行四边形底缩小10倍，高扩大10倍，这个平行四边形的面积?：A 缩小10倍 ，B  扩大10倍 ，C 大小与原来相等。只能选择一个选项，禁止解释。,请选择一个正确选项。一个平行四边形底缩小10倍，高扩大10倍，这个平行四边形的面积?：A 缩小10倍 ，B 大小与原来相等。只能选择一个选项，禁止解释。
将一个长方形拉成一个平行四边形（四条边长度不变），它的面积?,比原来小,"['比原来大', '与原来相等', '不知道']",请选择一个正确选项。将一个长方形拉成一个平行四边形（四条边长度不变），它的面积?：A 比原来小 ，B 比原来大 ，C 与原来相等，D 不知道。只能选择一个选项，禁止解释。,请选择一个正确选项。将一个长方形拉成一个平行四边形（四条边长度不变），它的面积?：A 比原来大 ，B  与原来相等 ，C 比原来小。只能选择一个选项，禁止解释。,请选择一个正确选项。将一个长方形拉成一个平行四边形（四条边长度不变），它的面积?：A 比原来大 ，B 比原来小。只能选择一个选项，禁止解释。
梯形有_____条高。,无数,"['1', '1900/1/2 00:00', '3']",请选择一个正确选项。梯形有_____条高。：A 无数 ，B 1 ，C 1900-01-02 00:00:00，D 3。只能选择一个选项，禁止解释。,请选择一个正确选项。梯形有_____条高。：A 1 ，B  1900/1/2 00:00 ，C 无数。只能选择一个选项，禁止解释。,请选择一个正确选项。梯形有_____条高。：A 1 ，B 无数。只能选择一个选项，禁止解释。
把三根同样长的铁丝分别围成长方形，正方形和平行四边形，围成图形的面积?,正方形大,"['长方形大', '平行四边形大', '不知道']",请选择一个正确选项。把三根同样长的铁丝分别围成长方形，正方形和平行四边形，围成图形的面积?：A 正方形大 ，B 长方形大 ，C 平行四边形大，D 不知道。只能选择一个选项，禁止解释。,请选择一个正确选项。把三根同样长的铁丝分别围成长方形，正方形和平行四边形，围成图形的面积?：A 长方形大 ，B  平行四边形大 ，C 正方形大。只能选择一个选项，禁止解释。,请选择一个正确选项。把三根同样长的铁丝分别围成长方形，正方形和平行四边形，围成图形的面积?：A 长方形大 ，B 正方形大。只能选择一个选项，禁止解释。
一个平行四边形，底边不变，高扩大3倍，它的面积?,扩大3倍,"['扩大9倍', '缩小3倍', '不知道']",请选择一个正确选项。一个平行四边形，底边不变，高扩大3倍，它的面积?：A 扩大3倍 ，B 扩大9倍 ，C 缩小3倍，D 不知道。只能选择一个选项，禁止解释。,请选择一个正确选项。一个平行四边形，底边不变，高扩大3倍，它的面积?：A 扩大9倍 ，B  缩小3倍 ，C 扩大3倍。只能选择一个选项，禁止解释。,请选择一个正确选项。一个平行四边形，底边不变，高扩大3倍，它的面积?：A 扩大9倍 ，B 扩大3倍。只能选择一个选项，禁止解释。
洋务运动的主要作用集中那几个方面   ?,工业生产、军事技术、文化教育,"['工业生产、军事技术', '政治体制、军事技术、文化教育', '工业生产、政治体制、军事技术、文化教育']",请选择一个正确选项。洋务运动的主要作用集中那几个方面   ?：A 工业生产、军事技术 ，B 工业生产、军事技术、文化教育 ，C 政治体制、军事技术、文化教育，D 工业生产、政治体制、军事技术、文化教育。只能选择一个选项，禁止解释。,请选择一个正确选项。洋务运动的主要作用集中那几个方面   ?：A 工业生产、军事技术 ，B  政治体制、军事技术、文化教育 ，C 工业生产、军事技术、文化教育。只能选择一个选项，禁止解释。,请选择一个正确选项。洋务运动的主要作用集中那几个方面   ?：A 工业生产、军事技术 ，B 工业生产、军事技术、文化教育。只能选择一个选项，禁止解释。
洋务运动在兴办军事工业和建立新式陆海军过程中，遇到诸多问题，最主要的是 ?,财政问题,"['外交问题', '人才问题', '器材问题']",请选择一个正确选项。洋务运动在兴办军事工业和建立新式陆海军过程中，遇到诸多问题，最主要的是 ?：A 外交问题 ，B 财政问题 ，C 人才问题，D 器材问题。只能选择一个选项，禁止解释。,请选择一个正确选项。洋务运动在兴办军事工业和建立新式陆海军过程中，遇到诸多问题，最主要的是 ?：A 外交问题 ，B  人才问题 ，C 财政问题。只能选择一个选项，禁止解释。,请选择一个正确选项。洋务运动在兴办军事工业和建立新式陆海军过程中，遇到诸多问题，最主要的是 ?：A 外交问题 ，B 财政问题。只能选择一个选项，禁止解释。
洋海军正式建立于 ?,1888年,"['1887年', '1885年', '1890年']",请选择一个正确选项。洋海军正式建立于 ?：A 1888年 ，B 1887年 ，C 1885年，D 1890年。只能选择一个选项，禁止解释。,请选择一个正确选项。洋海军正式建立于 ?：A 1887年 ，B  1885年 ，C 1888年。只能选择一个选项，禁止解释。,请选择一个正确选项。洋海军正式建立于 ?：A 1887年 ，B 1888年。只能选择一个选项，禁止解释。
威海卫战役中，炸沉了“定远”舰后自杀的是 ?,刘步幨,"['丁汝昌', '邓世昌', '叶祖珪']",请选择一个正确选项。威海卫战役中，炸沉了“定远”舰后自杀的是 ?：A 丁汝昌 ，B 刘步幨 ，C 邓世昌，D 叶祖珪。只能选择一个选项，禁止解释。,请选择一个正确选项。威海卫战役中，炸沉了“定远”舰后自杀的是 ?：A 丁汝昌 ，B  邓世昌 ，C 刘步幨。只能选择一个选项，禁止解释。,请选择一个正确选项。威海卫战役中，炸沉了“定远”舰后自杀的是 ?：A 丁汝昌 ，B 刘步幨。只能选择一个选项，禁止解释。
__后，日本正式挑起了酝酿已久的侵华战争。,东学党起义,"['丰海海战', '中法战争', '壬午兵变']",请选择一个正确选项。__后，日本正式挑起了酝酿已久的侵华战争。：A 丰海海战 ，B 东学党起义 ，C 中法战争，D 壬午兵变。只能选择一个选项，禁止解释。,请选择一个正确选项。__后，日本正式挑起了酝酿已久的侵华战争。：A 丰海海战 ，B  中法战争 ，C 东学党起义。只能选择一个选项，禁止解释。,请选择一个正确选项。__后，日本正式挑起了酝酿已久的侵华战争。：A 丰海海战 ，B 东学党起义。只能选择一个选项，禁止解释。
在罗斯福新政中，既直接提高就业率，又为经济发展开拓空间的措施是?,举办公共工程,"['恢复银行信用', '调整农业经济', '规范企业行为']",请选择一个正确选项。在罗斯福新政中，既直接提高就业率，又为经济发展开拓空间的措施是?：A 恢复银行信用 ，B 调整农业经济 ，C 规范企业行为，D 举办公共工程。只能选择一个选项，禁止解释。,请选择一个正确选项。在罗斯福新政中，既直接提高就业率，又为经济发展开拓空间的措施是?：A 恢复银行信用 ，B  调整农业经济 ，C 举办公共工程。只能选择一个选项，禁止解释。,请选择一个正确选项。在罗斯福新政中，既直接提高就业率，又为经济发展开拓空间的措施是?：A 恢复银行信用 ，B 举办公共工程。只能选择一个选项，禁止解释。
2000年岁航海，大前提：资本主义经济危机是由于生产社会化同生产资料私人占有这一基本矛盾产生的。小前提：罗斯福新政将美国私人垄断资本主义推向国家垄断资本主义。结论：罗斯福新政从根本上消除了资本主义经济危机。这个三段式的推理?,大前提正确，小前提正确，结论错误,"['大前提正确，小前提正确，结论正确', '大前提错误，小前提错误，结论错误', '大前提错误，小前提错误，结论正确']",请选择一个正确选项。2000年岁航海，大前提：资本主义经济危机是由于生产社会化同生产资料私人占有这一基本矛盾产生的。小前提：罗斯福新政将美国私人垄断资本主义推向国家垄断资本主义。结论：罗斯福新政从根本上消除了资本主义经济危机。这个三段式的推理?：A 大前提正确，小前提正确，结论正确 ，B 大前提错误，小前提错误，结论错误 ，C 大前提正确，小前提正确，结论错误，D 大前提错误，小前提错误，结论正确。只能选择一个选项，禁止解释。,请选择一个正确选项。2000年岁航海，大前提：资本主义经济危机是由于生产社会化同生产资料私人占有这一基本矛盾产生的。小前提：罗斯福新政将美国私人垄断资本主义推向国家垄断资本主义。结论：罗斯福新政从根本上消除了资本主义经济危机。这个三段式的推理?：A 大前提正确，小前提正确，结论正确 ，B  大前提错误，小前提错误，结论错误 ，C 大前提正确，小前提正确，结论错误。只能选择一个选项，禁止解释。,请选择一个正确选项。2000年岁航海，大前提：资本主义经济危机是由于生产社会化同生产资料私人占有这一基本矛盾产生的。小前提：罗斯福新政将美国私人垄断资本主义推向国家垄断资本主义。结论：罗斯福新政从根本上消除了资本主义经济危机。这个三段式的推理?：A 大前提正确，小前提正确，结论正确 ，B 大前提正确，小前提正确，结论错误。只能选择一个选项，禁止解释。
，导致德意日三国法西斯势力上台的诸因素中，相同的是?,社会生活受到经济危机的冲击,"['政府和议会已瘫痪', '军人在国家政治中占主导地位', '法西斯政党成为法西斯运动的核心']",请选择一个正确选项。，导致德意日三国法西斯势力上台的诸因素中，相同的是?：A 政府和议会已瘫痪 ，B 社会生活受到经济危机的冲击 ，C 军人在国家政治中占主导地位，D 法西斯政党成为法西斯运动的核心。只能选择一个选项，禁止解释。,请选择一个正确选项。，导致德意日三国法西斯势力上台的诸因素中，相同的是?：A 政府和议会已瘫痪 ，B  军人在国家政治中占主导地位 ，C 社会生活受到经济危机的冲击。只能选择一个选项，禁止解释。,请选择一个正确选项。，导致德意日三国法西斯势力上台的诸因素中，相同的是?：A 政府和议会已瘫痪 ，B 社会生活受到经济危机的冲击。只能选择一个选项，禁止解释。
引发本世纪20年代末美国经济危机的原因是①纽约作为世界金融中心的地位动摇②经济繁荣集中表现在工业生产高涨上③市场上普遍推行分期付款④股票投机活动空前活跃?,②③④,"['①③', '①④', '①②③']",请选择一个正确选项。引发本世纪20年代末美国经济危机的原因是①纽约作为世界金融中心的地位动摇②经济繁荣集中表现在工业生产高涨上③市场上普遍推行分期付款④股票投机活动空前活跃?：A ①③ ，B ①④ ，C ①②③，D ②③④。只能选择一个选项，禁止解释。,请选择一个正确选项。引发本世纪20年代末美国经济危机的原因是①纽约作为世界金融中心的地位动摇②经济繁荣集中表现在工业生产高涨上③市场上普遍推行分期付款④股票投机活动空前活跃?：A ①③ ，B  ①④ ，C ②③④。只能选择一个选项，禁止解释。,请选择一个正确选项。引发本世纪20年代末美国经济危机的原因是①纽约作为世界金融中心的地位动摇②经济繁荣集中表现在工业生产高涨上③市场上普遍推行分期付款④股票投机活动空前活跃?：A ①③ ，B ②③④。只能选择一个选项，禁止解释。
法西斯党在意大利，纳粹党在德国得以上台执政，共同点是最后通过?,国家元首授权,"['用武力夺取政权', '骗取选票，获得议会多数席位', '胁迫当局解散其它政党']",请选择一个正确选项。法西斯党在意大利，纳粹党在德国得以上台执政，共同点是最后通过?：A 用武力夺取政权 ，B 骗取选票，获得议会多数席位 ，C 国家元首授权，D 胁迫当局解散其它政党。只能选择一个选项，禁止解释。,请选择一个正确选项。法西斯党在意大利，纳粹党在德国得以上台执政，共同点是最后通过?：A 用武力夺取政权 ，B  骗取选票，获得议会多数席位 ，C 国家元首授权。只能选择一个选项，禁止解释。,请选择一个正确选项。法西斯党在意大利，纳粹党在德国得以上台执政，共同点是最后通过?：A 用武力夺取政权 ，B 国家元首授权。只能选择一个选项，禁止解释。
从业者在职业劳动中，有一分力出一分力，出满勤，干满点，不怠工，不推诿，不自欺，遵纪守法;对待他人严格履行合同契约，说到做到，不说谎，不欺人，不弄虚作假，不唯利是图，不做缺德事，不做亏心事。这是职业道德中?,诚实守信的要求,"['助人为乐的要求', '办事公道的要求', '勤俭自强的要求']",请选择一个正确选项。从业者在职业劳动中，有一分力出一分力，出满勤，干满点，不怠工，不推诿，不自欺，遵纪守法;对待他人严格履行合同契约，说到做到，不说谎，不欺人，不弄虚作假，不唯利是图，不做缺德事，不做亏心事。这是职业道德中?：A 助人为乐的要求 ，B 办事公道的要求 ，C 诚实守信的要求，D 勤俭自强的要求。只能选择一个选项，禁止解释。,请选择一个正确选项。从业者在职业劳动中，有一分力出一分力，出满勤，干满点，不怠工，不推诿，不自欺，遵纪守法;对待他人严格履行合同契约，说到做到，不说谎，不欺人，不弄虚作假，不唯利是图，不做缺德事，不做亏心事。这是职业道德中?：A 助人为乐的要求 ，B  办事公道的要求 ，C 诚实守信的要求。只能选择一个选项，禁止解释。,请选择一个正确选项。从业者在职业劳动中，有一分力出一分力，出满勤，干满点，不怠工，不推诿，不自欺，遵纪守法;对待他人严格履行合同契约，说到做到，不说谎，不欺人，不弄虚作假，不唯利是图，不做缺德事，不做亏心事。这是职业道德中?：A 助人为乐的要求 ，B 诚实守信的要求。只能选择一个选项，禁止解释。
通过对“法”的语源与词义的考证，可知中、西方的“法”都包含着____的内容。,公平、正义,"['邪恶', '驱逐', '仁义']",请选择一个正确选项。通过对“法”的语源与词义的考证，可知中、西方的“法”都包含着____的内容。：A 邪恶 ，B 公平、正义 ，C 驱逐，D 仁义。只能选择一个选项，禁止解释。,请选择一个正确选项。通过对“法”的语源与词义的考证，可知中、西方的“法”都包含着____的内容。：A 邪恶 ，B  驱逐 ，C 公平、正义。只能选择一个选项，禁止解释。,请选择一个正确选项。通过对“法”的语源与词义的考证，可知中、西方的“法”都包含着____的内容。：A 邪恶 ，B 公平、正义。只能选择一个选项，禁止解释。
王某在一家服装店挑选风衣，店主向王某推荐了一款，王某试穿后觉得不合适，便脱下来要走，店主却强迫王某买下了这件风衣。店主的这一行为侵犯了王某的?,选择商品自主权,"['财产安全权', '损害求偿权', '维护尊严权']",请选择一个正确选项。王某在一家服装店挑选风衣，店主向王某推荐了一款，王某试穿后觉得不合适，便脱下来要走，店主却强迫王某买下了这件风衣。店主的这一行为侵犯了王某的?：A 财产安全权 ，B 损害求偿权 ，C 维护尊严权，D 选择商品自主权。只能选择一个选项，禁止解释。,请选择一个正确选项。王某在一家服装店挑选风衣，店主向王某推荐了一款，王某试穿后觉得不合适，便脱下来要走，店主却强迫王某买下了这件风衣。店主的这一行为侵犯了王某的?：A 财产安全权 ，B  损害求偿权 ，C 选择商品自主权。只能选择一个选项，禁止解释。,请选择一个正确选项。王某在一家服装店挑选风衣，店主向王某推荐了一款，王某试穿后觉得不合适，便脱下来要走，店主却强迫王某买下了这件风衣。店主的这一行为侵犯了王某的?：A 财产安全权 ，B 选择商品自主权。只能选择一个选项，禁止解释。
道德的功能是指道德作为社会意识的特殊形式对于社会发展所具有的功效与能力。其中最突出的也是重要的社会功能是?,调节功能,"['辩护功能', '沟通功能', '激励功能']",请选择一个正确选项。道德的功能是指道德作为社会意识的特殊形式对于社会发展所具有的功效与能力。其中最突出的也是重要的社会功能是?：A 辩护功能 ，B 沟通功能 ，C 调节功能，D 激励功能。只能选择一个选项，禁止解释。,请选择一个正确选项。道德的功能是指道德作为社会意识的特殊形式对于社会发展所具有的功效与能力。其中最突出的也是重要的社会功能是?：A 辩护功能 ，B  沟通功能 ，C 调节功能。只能选择一个选项，禁止解释。,请选择一个正确选项。道德的功能是指道德作为社会意识的特殊形式对于社会发展所具有的功效与能力。其中最突出的也是重要的社会功能是?：A 辩护功能 ，B 调节功能。只能选择一个选项，禁止解释。
理想作为一种精神现象，是人类社会实践的产物。理想源于现实，又超越现实，在现实中有多种类型。从层次上划分，理想有?,崇高理想和一般理想,"['个人理想和社会理想', '道德理想和政治理想', '生活理想和职业理想']",请选择一个正确选项。理想作为一种精神现象，是人类社会实践的产物。理想源于现实，又超越现实，在现实中有多种类型。从层次上划分，理想有?：A 个人理想和社会理想 ，B 道德理想和政治理想 ，C 生活理想和职业理想，D 崇高理想和一般理想。只能选择一个选项，禁止解释。,请选择一个正确选项。理想作为一种精神现象，是人类社会实践的产物。理想源于现实，又超越现实，在现实中有多种类型。从层次上划分，理想有?：A 个人理想和社会理想 ，B  道德理想和政治理想 ，C 崇高理想和一般理想。只能选择一个选项，禁止解释。,请选择一个正确选项。理想作为一种精神现象，是人类社会实践的产物。理想源于现实，又超越现实，在现实中有多种类型。从层次上划分，理想有?：A 个人理想和社会理想 ，B 崇高理想和一般理想。只能选择一个选项，禁止解释。
发源于欧洲中世纪的爱情歌曲，通常在黄昏或夜晚演唱，流行于西班牙、意大利等国，是下列哪种体裁？,小夜曲,"['夜曲', '前奏曲', '无言歌']",请选择一个正确选项。发源于欧洲中世纪的爱情歌曲，通常在黄昏或夜晚演唱，流行于西班牙、意大利等国，是下列哪种体裁？：A 夜曲 ，B 小夜曲 ，C 前奏曲，D 无言歌。只能选择一个选项，禁止解释。,请选择一个正确选项。发源于欧洲中世纪的爱情歌曲，通常在黄昏或夜晚演唱，流行于西班牙、意大利等国，是下列哪种体裁？：A 夜曲 ，B  前奏曲 ，C 小夜曲。只能选择一个选项，禁止解释。,请选择一个正确选项。发源于欧洲中世纪的爱情歌曲，通常在黄昏或夜晚演唱，流行于西班牙、意大利等国，是下列哪种体裁？：A 夜曲 ，B 小夜曲。只能选择一个选项，禁止解释。
下列属于多乐章结构的乐曲体裁是？,交响曲,"['练习曲', '交响诗', '序曲']",请选择一个正确选项。下列属于多乐章结构的乐曲体裁是？：A 练习曲 ，B 交响曲 ，C 交响诗，D 序曲。只能选择一个选项，禁止解释。,请选择一个正确选项。下列属于多乐章结构的乐曲体裁是？：A 练习曲 ，B  交响诗 ，C 交响曲。只能选择一个选项，禁止解释。,请选择一个正确选项。下列属于多乐章结构的乐曲体裁是？：A 练习曲 ，B 交响曲。只能选择一个选项，禁止解释。
